"company_id","company_name","industry_list","city","state","linkedin","founded","website","description","links","founders","ceo","company_ownership"
132,"SALESFORCE","{Technology}","San Francisco","California","company/salesforce",1999,"www.salesforce.com","Cloud-based software company specializing in customer relationship management (CRM).","{""TWITTER"": ""https://twitter.com/salesforce""}","{""Marc Benioff"",""Parker Harris"",""Dave Moellenhoff"",""Frank Dominguez""}","Marc Benioff","Public"
191,"META PLATFORMS, INC.","{Technology}","Menlo Park","California",,2004,"www.fb.com",,,,,
227,"APPLE","{Technology}","Cupertino","California","company/apple",1977,"www.apple.com","Apple Inc. is a technology company known for its consumer electronics, computer software, and online services, including the iPhone and the App Store.","{""CAREER"": ""/careers/us"", ""TWITTER"": ""https://twitter.com/Apple"", ""FACEBOOK"": ""https://www.facebook.com/Apple"", ""APPLE_STORE"": ""https://apps.apple.com/us/app/hello-kitty-island-adventure/id1553505132?itscg=10000&itsct=aa-apl_hp-play_now--240326""}","{""Steve Jobs"",""Steve Wozniak"",""Ronald Wayne""}","Tim Cook","Public"
307,"INTEL CORPORATION",,"Santa Clara","California","company/intel-corporation",1968,"www.intel.com","Intel® Enpirion® Power Legacy support resources","{""CAREER"": ""/content/www/us/en/jobs/life-at-intel.html"", ""TWITTER"": ""https://twitter.com/intel"", ""FACEBOOK"": ""https://www.facebook.com/Intel"", ""INSTAGRAM"": ""https://www.instagram.com/intel""}",,,
494,"NVIDIA","{Technology}","Santa Clara","California","company/nvidia",1993,"www.nvidia.com","Designing and manufacturing graphics processing units (GPUs) and AI technology.","{""CAREER"": ""https://www.nvidia.com/en-us/about-nvidia/careers"", ""TWITTER"": ""https://twitter.com/NVIDIA"", ""FACEBOOK"": ""http://www.facebook.com/NVIDIA"", ""INSTAGRAM"": ""https://www.instagram.com/nvidiageforce""}","{""Jensen Huang"",""Chris Malachowsky"",""Curtis Priem""}","Jensen Huang","Public"
4605,"IBM",,"Durham","North Carolina","company/ibm",1911,"www.ibm.com","IBM is an American multinational technology and consulting company, known for manufacturing hardware and software, and providing hosting and consulting services.",,"{""Charles Ranlett Flint""}","Arvind Krishna","Public"
9590,"AMAZON","{""Consumer Goods"",Technology}","Seattle","Washington","company/amazon",1995,"www.amazon.com","Amazon is a multinational technology and e-commerce company, known for its online marketplace, cloud computing services, and digital streaming.","{""CAREER"": ""https://www.amazon.jobs""}","{""Jeff Bezos""}","Andy Jassy","Public"
9604,"MICROSOFT","{""Media & Entertainment"",Technology}","Redmond","Washington","company/microsoft",1975,"www.microsoft.com","Microsoft is a multinational technology company that develops, licenses, and sells computer software, consumer electronics, and personal computers.","{""CAREER"": ""https://careers.microsoft.com"", ""TWITTER"": ""http://twitter.com/swiftkey"", ""FACEBOOK"": ""http://facebook.com/swiftkey"", ""INSTAGRAM"": ""http://instagram.com/swiftkey"", ""APPLE_STORE"": ""https://itunes.apple.com/app/swiftkey-keyboard/id911813648?mt=8""}","{""Bill Gates"",""Paul Allen""}","Satya Nadella","Public"
27732,"GOOGLE","{Technology}","Mountain View","California","company/google",1998,"www.google.com","Google is a global technology company specializing in Internet-related services and products, including search engines, online advertising, and computing.","{""TWITTER"": ""https://twitter.com/googleearth"", ""YOUTUBE"": ""//www.youtube.com/chromebook"", ""FACEBOOK"": ""https://facebook.com/googleearth"", ""APPLE_STORE"": ""https://itunes.apple.com/us/app/google-earth/id293622097"", ""GOOGLE_PLAY"": ""https://play.google.com/store/apps/details?id=com.google.earth""}","{""Larry Page"",""Sergey Brin""}","Sundar Pichai","Public"
57585,"LINKEDIN","{Technology}","Sunnyvale","California","company/linkedin",2003,"www.linkedin.com","Professional networking platform providing a space for professionals to connect, share, and find jobs.","{""CAREER"": ""https://www.linkedin.com/jobs?trk=public_profile_guest_nav_menu_jobs"", ""TWITTER"": ""https://twitter.com/linkedin""}","{""Reid Hoffman"",""Allen Blue"",""Konstantin Guericke"",""Eric Ly""}","Ryan Roslansky","Acquired"
